J8o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
T8o,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
98o,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
88,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
87s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
86s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
85s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
84s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
83s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
82s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A7o,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K7o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
Q7o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
J7o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T7o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
97o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
87o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
77,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
76s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
75s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
74s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
73s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
72s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A6o,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
K6o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
Q6o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
J6o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T6o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
96o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
86o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
76o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
66,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
65s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
64s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
63s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
62s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A5o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
K5o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
Q5o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
J5o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T5o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
95o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
85o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
75o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
65o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
55,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
54s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
53s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
52s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A4o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
K4o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
Q4o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
J4o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T4o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
94o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
84o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
74o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
64o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
54o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
44,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
43s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
42s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A3o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
K3o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
Q3o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
J3o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T3o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
93o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
83o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
73o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
63o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
53o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
43o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
33,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
32s,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
A2o,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
K2o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
Q2o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
J2o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
T2o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
92o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
82o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
72o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
62o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
52o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
42o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
32o,"グレー / フォールド<br><br><img src=""yokosawa-handrange.png"">"
22,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
